tree,n_missing_total,n_missing_1980_on,n_outliers_total
748011_raw,146,0,5
748012_raw,174,0,3
748021_raw,131,0,5
748022_raw,126,0,8
748031_raw,123,0,7
748032_raw,115,0,4
748041_raw,156,0,3
748042_raw,136,0,4
748051_raw,0,0,8
748052_raw,91,0,5
748061_raw,119,0,5
748062_raw,147,0,5
748071_raw,139,0,3
748072_raw,176,0,0
748081_raw,82,0,4
748082_raw,54,0,6
748091_raw,2,0,7
748092_raw,28,0,4
748101_raw,119,0,1
748102_raw,104,0,5
748111_raw,156,0,6
748112_raw,102,0,3
748121_raw,238,0,5
748122_raw,108,12,5
748132_raw,104,0,1
748141_raw,189,0,1
748142_raw,140,0,6
