age_CE,SVF01A_raw,SVF01B_raw,SVF02A_raw,SVF02B_raw,SVF03A_raw,SVF03B_raw,SVF04A_raw,SVF04B_raw,SVF05A_raw,SVF05B_raw,SVF01A_raw_outlier_flag,SVF01B_raw_outlier_flag,SVF02A_raw_outlier_flag,SVF02B_raw_outlier_flag,SVF03A_raw_outlier_flag,SVF03B_raw_outlier_flag,SVF04A_raw_outlier_flag,SVF04B_raw_outlier_flag,SVF05A_raw_outlier_flag,SVF05B_raw_outlier_flag
1747,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1748,NA,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1749,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1750,NA,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1751,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1752,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1753,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1754,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1755,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1756,NA,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1757,NA,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1758,NA,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1759,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1760,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1761,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1762,NA,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1763,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1764,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1765,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1766,NA,2.82,NA,NA,NA,NA,NA,1.5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1767,NA,2.04,NA,NA,NA,NA,NA,1.53,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1768,NA,2.6,NA,NA,NA,NA,NA,1.92,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1769,NA,1.94,NA,NA,NA,NA,NA,1.11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1770,NA,2.09,NA,NA,NA,NA,NA,1.23,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1771,NA,1.48,NA,NA,NA,NA,NA,1.05,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1772,NA,2.12,NA,NA,NA,NA,NA,1.11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1773,NA,2.3,NA,NA,NA,NA,NA,1.68,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1774,NA,2.22,NA,NA,NA,NA,NA,1.82,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1775,NA,2.08,NA,NA,NA,NA,NA,1.44,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1776,NA,2.4,NA,NA,NA,NA,NA,1.39,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1777,NA,1.83,NA,NA,NA,NA,NA,1.09,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1778,NA,1.41,NA,NA,NA,NA,NA,0.85,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1779,NA,1.43,NA,NA,NA,NA,NA,1.4,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1780,NA,1.76,NA,NA,NA,NA,NA,1.64,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1781,NA,1.74,NA,NA,NA,NA,NA,1.27,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1782,NA,1.69,NA,NA,NA,NA,NA,1.49,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1783,NA,1.49,NA,NA,NA,NA,NA,0.96,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1784,NA,2.19,NA,NA,NA,NA,NA,1.55,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1785,NA,1.64,NA,NA,NA,NA,NA,1.19,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1786,NA,2.66,NA,NA,NA,NA,NA,1.42,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1787,NA,1.65,NA,NA,NA,NA,NA,1.52,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA
1788,NA,1.99,NA,NA,NA,2.31,NA,1.85,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA
1789,NA,3.2,NA,NA,NA,1.84,NA,2.33,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA
1790,NA,2.38,NA,1.09,NA,2.02,NA,2.6,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1791,NA,3.62,NA,1.28,NA,2.17,NA,2.72,NA,NA,NA,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1792,NA,3.09,NA,1.29,NA,2.44,NA,2.4,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1793,NA,3.29,NA,1.17,NA,1.91,NA,2.69,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1794,NA,3.09,NA,1.21,NA,3.03,NA,2.73,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1795,NA,2.82,NA,1.14,NA,2.11,NA,2.26,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1796,NA,1.83,NA,1.34,NA,2.38,NA,2.27,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1797,NA,2.57,NA,1.47,NA,2.81,NA,2.38,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1798,NA,2.03,NA,1.37,NA,3.83,NA,3.38,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1799,NA,2.67,NA,1.45,NA,2.42,NA,2.34,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA
1800,NA,2.69,NA,1.49,NA,1.98,NA,2.11,NA,1.38,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1801,NA,2.37,NA,1.63,NA,2.53,NA,2.46,NA,1.79,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1802,NA,2.4,NA,1.56,NA,2.73,NA,2.42,NA,3.83,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1803,NA,2.52,NA,1.44,NA,3.33,NA,1.63,NA,4.43,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1804,NA,2.87,NA,1.87,NA,2.99,NA,1.58,NA,4.4,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1805,2.8,2.71,NA,1.62,NA,3.21,NA,1.78,NA,2.92,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1806,3.09,3.08,NA,1.46,NA,2.82,NA,1.95,NA,4.53,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1807,1.84,1.72,NA,1.25,NA,2.31,NA,1.83,NA,4.64,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1808,2.83,1.96,NA,1.56,NA,2.78,1.5,1.59,NA,5.55,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1809,2.64,1.96,NA,1.37,NA,2.7,2.14,2.62,4.45,5.1,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1810,2.36,1.91,NA,1.4,NA,2.07,1.49,1.68,2.87,2.86,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1811,3.24,2.32,NA,1.12,NA,3,2.7,2.5,4.84,5.27,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1812,3.06,3.1,NA,1.42,3.94,3.85,3.44,2.59,4.94,4.43,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1813,2.56,2.71,NA,1.2,3.66,2.99,2.65,2.34,3.94,5.37,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1814,4.11,3.32,NA,1.06,4.2,3.49,3.06,2.65,3.88,5.3,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1815,3.45,2.38,NA,0.77,3.95,3.12,2.06,2.08,3.63,3.85,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1816,3.06,2.82,NA,0.99,2.97,2.01,2.48,2.21,3.87,4.18,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1817,2.59,2.38,NA,1.13,3.9,2.73,2.01,1.96,3.97,3.75,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
