tree,n_missing_total,n_missing_1980_on,n_outliers_total
MHD01A_raw,104,0,1
MHD01B_raw,63,0,2
MHD02A_raw,104,0,2
MHD02B_raw,103,0,0
MHD03A_raw,105,0,2
MHD03B_raw,126,0,1
MHD04A_raw,111,0,0
MHD04B_raw,105,0,1
MHD05A_raw,27,0,1
MHD05B_raw,105,0,2
MHD11A_raw,105,0,0
MHD11B_raw,105,0,2
MHD12A_raw,104,0,0
MHD12B_raw,2,0,4
MHD13A_raw,105,0,3
MHD13B_raw,105,0,4
MHD14A_raw,105,0,1
MHD14B_raw,105,0,3
MHD16A_raw,104,0,2
MHD16B_raw,0,0,3
MHD17A_raw,103,0,2
MHD18A_raw,105,0,3
MHD18B_raw,126,0,2
MHD19A_raw,105,0,1
MHD20A_raw,105,0,0
MHD20B_raw,105,0,0
MHD21A_raw,104,0,1
MHD21B_raw,105,0,0
MHD22A_raw,105,0,0
MHD22B_raw,113,0,1
MHD23A_raw,103,0,1
MHD23B_raw,102,0,0
MHD24A_raw,100,0,2
MHD24B_raw,101,0,2
MHD25A_raw,156,0,0
MHD25B_raw,161,0,1
